id,title,tagline,release_date,genres,belongs_to_collection,original_language,budget_musd,revenue_musd,production_companies,production_countries,vote_count,vote_average,popularity,runtime,overview,spoken_languages,poster_path,cast,cast_size,director,crew_size,release_year,release_month,release_quarter,days_since_release,roi,profit_musd,genre_count,is_profitable,budget_musd_is_outlier,revenue_musd_is_outlier,runtime_is_outlier,popularity_is_outlier,completeness_score,genre_adventure,genre_action,genre_science_fiction,genre_fantasy,genre_family,genre_animation,genre_thriller,genre_romance,genre_drama,genre_crime,is_english,is_franchise
299534,Avengers: Endgame,Avenge the fallen.,2019-04-24,Adventure|Science Fiction|Action,The Avengers Collection,en,1.0,0.9260527352584191,Marvel Studios,United States of America,26978,1.0,0.16330180006524123,0.8586956521739129,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",English|Japanese|Xhosa,/bR8ISy1O9XQxqiy0fQFw2BX72RQ.jpg,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson,105,Anthony Russo,607,2019,4,2,2421,686.359297752809,2443.4391,3,1,0,0,1,0,1.0,1,1,1,0,0,0,0,0,0,0,1,1
19995,Avatar,Enter the world of Pandora.,2009-12-15,Action|Adventure|Fantasy|Science Fiction,Avatar Collection,en,0.48484848484848486,1.0,Dune Entertainment|Lightstorm Entertainment|20th Century Fox|Ingenious Film Partners,United States of America|United Kingdom,32883,0.6217647058823532,0.9385990925536015,0.6521739130434783,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",English|Spanish,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,Sam Worthington|Zoe Saldaña|Sigourney Weaver|Stephen Lang|Michelle Rodriguez,65,James Cameron,990,2009,12,4,5838,1133.631234599156,2686.706026,4,1,0,1,0,1,1.0,1,1,1,1,0,0,0,0,0,0,1,1
140607,Star Wars: The Force Awakens,Every generation has a story.,2015-12-15,Adventure|Action|Science Fiction,Star Wars Collection,en,0.5194805194805194,0.4909298419238475,Lucasfilm Ltd.|Bad Robot,United States of America,20104,0.4488235294117642,0.02974704190267191,0.3695652173913042,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",English,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,183,J.J. Abrams,262,2015,12,4,3647,744.1729077551021,1823.2236240000002,3,1,0,0,0,0,1.0,1,1,1,0,0,0,0,0,0,0,1,1
299536,Avengers: Infinity War,Destiny arrives all the same.,2018-04-25,Adventure|Action|Science Fiction,The Avengers Collection,en,0.7575757575757576,0.48152265967661934,Marvel Studios,United States of America,31188,0.998823529411764,0.41948933898757446,0.5108695652173911,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",English|Xhosa,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,Robert Downey Jr.|Chris Evans|Chris Hemsworth|Josh Brolin|Mark Ruffalo,69,Joe Russo,733,2018,4,2,2785,584.1383463333333,1752.415039,3,1,0,0,0,0,1.0,1,1,1,0,0,0,0,0,0,0,1,1
597,Titanic,Nothing on earth could come between them.,1997-11-18,Drama|Romance,,en,0.3246753246753247,0.607526699453677,Paramount Pictures|20th Century Fox|Lightstorm Entertainment,United States of America,26519,0.8035294117647052,0.4996233800895583,1.0,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",English|French|German|Swedish|Italian|Russian,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,Leonardo DiCaprio|Kate Winslet|Billy Zane|Kathy Bates|Frances Fisher,116,James Cameron,262,1997,11,4,10248,1032.0811765,2064.162353,2,1,0,0,1,0,0.9705882352941176,0,0,0,0,0,0,0,1,1,0,1,0
135397,Jurassic World,The park is open.,2015-06-06,Action|Adventure|Science Fiction|Thriller,Jurassic Park Collection,en,0.10822510822510822,0.25487461052795335,Amblin Entertainment|Universal Pictures|Legendary Pictures,United States of America,21127,0.09529411764705875,0.08287713887488504,0.23913043478260865,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",English,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Ty Simpkins,53,Colin Trevorrow,426,2015,6,2,3839,1014.358296,1521.537444,4,1,0,0,0,0,1.0,1,1,1,0,0,0,1,0,0,0,1,1
420818,The Lion King,The king has returned.,2019-07-12,Adventure|Drama|Family|Animation,The Lion King (Reboot) Collection,en,0.5844155844155845,0.2492115720110003,Walt Disney Pictures|Fairview Entertainment,United States of America,10571,0.3323529411764703,0.05857477536253372,0.17391304347826075,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",English,/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,Chiwetel Ejiofor|John Oliver|Donald Glover|James Earl Jones|John Kani,20,Jon Favreau,48,2019,7,3,2342,539.2387765384616,1402.020819,4,1,0,0,0,0,1.0,1,0,0,0,1,1,0,0,1,0,1,1
24428,The Avengers,Some assembly required.,2012-04-25,Science Fiction|Action|Adventure,The Avengers Collection,en,0.4112554112554112,0.16399468552193897,Marvel Studios,United States of America,34325,0.7841176470588236,0.9999999999999999,0.44565217391304346,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",English|Hindi|Russian,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson,113,Joss Whedon,641,2012,4,2,4976,590.3706886363636,1298.815515,3,1,0,0,0,1,1.0,1,1,1,0,0,0,0,0,0,0,1,1
168259,Furious 7,Vengeance hits home.,2015-04-01,Action|Crime|Thriller,The Fast and the Furious Collection,en,0.2813852813852814,0.1619622220172584,Original Film|One Race|Universal Pictures,United States of America,11035,0.4035294117647057,0.31448652175202385,0.40217391304347827,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Arabic|English|Spanish|Thai,/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Jordana Brewster,49,James Wan,227,2015,4,2,3905,697.578947368421,1325.4,3,1,0,0,0,0,1.0,0,1,0,0,0,0,1,0,0,1,1,1
99861,Avengers: Age of Ultron,A new age has come.,2015-04-22,Action|Adventure|Science Fiction,The Avengers Collection,en,0.4761904761904763,0.09650694584523867,Marvel Studios,United States of America,23882,0.43176470588235283,0.13418048100590138,0.42391304347826075,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",English,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,74,Joss Whedon,652,2015,4,2,3884,498.04412510638304,1170.403694,3,1,0,0,0,0,1.0,1,1,1,0,0,0,0,0,0,0,1,1
